report_type,title,narrative,site,activity,location,occurred_at,reporter_name,gold_sif,gold_lsr,split
UNSAFE_CONDITION,Minor administrative item,"Supervisor walkdown recorded that Isolation was correctly applied, tagged, and verified using a zero-energy check before the technician began pump maintenance Observed during morning toolbox talk follow-up.",Site C (Gas Processing),General Maintenance,pump station,2026-07-29T18:00:00,Maintenance Engineer,NON_SIF,Energy Isolation,val
UNSAFE_CONDITION,Routine safety observation,Supervisor walkdown recorded that Fall-arrest harness was worn and correctly anchored throughout the scaffold inspection; no issues noted Observed during morning toolbox talk follow-up.,Site E (Terminal),Working at Height,scaffold platform,2026-05-30T03:00:00,HSE Officer,NON_SIF,Working at Height,val
UNSAFE_CONDITION,Potential serious injury precursor,"The permit for the confined space entry had expired an hour earlier, but the crew continued working inside the vessel.",Site E (Terminal),Confined Space Entry,separator vessel,2026-03-30T00:00:00,HSE Officer,HIGH,Confined Space,train
UNSAFE_CONDITION,Routine safety observation,The area authority reviewed and re-validated the permit at shift handover before work continued into the second shift.,Site A (Upstream E&P),General Maintenance,process unit,2026-04-08T16:00:00,Shift Supervisor,NON_SIF,Work Authorization,train
NEAR_MISS,Critical safety observation,Supervisor walkdown recorded that Welding was carried out near an open drum of solvent without a fire watch or a gas test Observed during morning toolbox talk follow-up.,Site D (Drilling Rig),Hot Work,maintenance workshop,2026-02-17T01:00:00,Maintenance Engineer,HIGH,Hot Work,train
UNSAFE_ACT,High-risk near miss,Permit close-out comment: Technician climbed onto an elevated platform without a harness to inspect equipment Equipment tag referenced in the PTW package.,Site D (Drilling Rig),Working at Height,process structure platform,2026-03-28T02:00:00,Operator,HIGH,Working at Height,test
NEAR_MISS,Barrier verification gap,Permit close-out comment: LOTO tags were applied but the isolation point was never physically verified with a zero-energy check before valve removal began Equipment tag referenced in the PTW package.,Site C (Gas Processing),Pipeline Maintenance,valve manifold,2026-02-16T03:00:00,Field Technician,MEDIUM,Energy Isolation,val
NEAR_MISS,Potential serious injury precursor,A light vehicle lost traction on a graded haul road and slid toward the road edge before the driver regained control.,Site C (Gas Processing),Driving / Vehicle Movement,haul road,2026-04-20T15:00:00,Contractor,HIGH,Driving,train
NEAR_MISS,Critical safety observation,Supervisor walkdown recorded that A worker entered a drained tank for a visual inspection while the standby attendant briefly left the entry point to retrieve additional equipment Observed during morning toolbox talk follow-up.,Site D (Drilling Rig),Confined Space Entry,storage tank manway,2026-02-19T15:00:00,Contractor,HIGH,Confined Space,train
UNSAFE_CONDITION,Routine safety observation,"Supervisor walkdown recorded that Hot work permit was issued, gas test confirmed clear, and a dedicated fire watch was posted for the full duration of the welding Observed during morning toolbox talk follow-up.",Site E (Terminal),Hot Work,fabrication yard,2026-07-28T03:00:00,Contractor,NON_SIF,Hot Work,val
UNSAFE_CONDITION,High-risk near miss,"Permit close-out comment: A contractor began hot-tapping a live line under a permit that had actually been issued for a different, unrelated task Equipment tag referenced in the PTW package.",Site B (Pipeline Corridor),Pipeline Maintenance,live tie-in point,2026-07-12T07:00:00,Operator,HIGH,Work Authorization,train
UNSAFE_CONDITION,Routine safety observation,"Supervisor walkdown recorded that Gas test was completed and confirmed clear, permit was signed, and the standby attendant remained at the entry point throughout the work Observed during morning toolbox talk follow-up.",Site C (Gas Processing),Confined Space Entry,vessel entry point,2026-07-18T17:00:00,HSE Officer,NON_SIF,Confined Space,train
NEAR_MISS,Critical safety observation,A dropped wrench fell from an elevated platform and landed close to a worker standing directly below the work area.,Site C (Gas Processing),General Maintenance,elevated platform,2026-04-08T19:00:00,Field Technician,HIGH,Line of Fire,test
NEAR_MISS,Barrier verification gap,A worker briefly stood within the marked exclusion zone to adjust a tag line before stepping back out as the lift resumed.,Site B (Pipeline Corridor),Lifting Operation,crane lift zone,2026-07-20T00:00:00,Shift Supervisor,MEDIUM,Line of Fire,train
UNSAFE_CONDITION,Potential serious injury precursor,"Supervisor walkdown recorded that Interlock was defeated to allow the pump to run with the guard open, exposing the coupling Observed during morning toolbox talk follow-up.",Site A (Upstream E&P),General Maintenance,pump house,2026-07-18T11:00:00,HSE Officer,HIGH,Bypassing Safety Controls,train
UNSAFE_CONDITION,Good practice observed,Printer in the site office was out of toner; IT was notified to replace the cartridge.,Site B (Pipeline Corridor),General Maintenance,site office,2026-06-21T22:00:00,Contractor,NON_SIF,No applicable rule,val
NEAR_MISS,Near miss - review recommended,"Supervisor walkdown recorded that Gas testing was completed before entry, but the results were not re-verified after a 45-minute delay before the crew actually entered the vessel Observed during morning toolbox talk follow-up.",Site B (Pipeline Corridor),Confined Space Entry,process vessel,2026-03-02T20:00:00,HSE Officer,MEDIUM,Confined Space,train
UNSAFE_CONDITION,Minor administrative item,"Supervisor walkdown recorded that A journey management plan was filed, the vehicle passed its pre-trip inspection, and the driver took the scheduled rest break during the long-distance transfer Observed during morning toolbox talk follow-up.",Site A (Upstream E&P),Driving / Vehicle Movement,field access road,2026-03-23T03:00:00,Field Technician,NON_SIF,Driving,test
UNSAFE_CONDITION,Good practice observed,Supervisor walkdown recorded that Printer in the site office was out of toner; IT was notified to replace the cartridge Observed during morning toolbox talk follow-up.,Site C (Gas Processing),General Maintenance,site office,2026-03-29T10:00:00,Field Technician,NON_SIF,No applicable rule,val
UNSAFE_CONDITION,Routine safety observation,A near-miss reporting refresher was held for new hires with no actual incidents discussed.,Site B (Pipeline Corridor),General Maintenance,training room,2026-04-30T04:00:00,Contractor,NON_SIF,No applicable rule,train
INCIDENT,Potential serious injury precursor,Permit close-out comment: Technician felt dizzy shortly after entering a tank; gas test results were later found to have been recorded before ventilation was complete Equipment tag referenced in the PTW package.,Site D (Drilling Rig),Confined Space Entry,process vessel,2026-03-27T21:00:00,Maintenance Engineer,HIGH,Confined Space,train
INCIDENT,Potential serious injury precursor,"Supervisor walkdown recorded that Electrician started work on a control panel before confirming it was de-energized, receiving a minor shock from a live wire Observed during morning toolbox talk follow-up.",Site D (Drilling Rig),Electrical Work,switchgear room,2026-03-17T16:00:00,HSE Officer,HIGH,Energy Isolation,val
UNSAFE_CONDITION,Good practice observed,"Supervisor walkdown recorded that Driver completed the journey management checklist, wore a seatbelt, and observed the posted speed limit throughout the trip Observed during morning toolbox talk follow-up.",Site A (Upstream E&P),Driving / Vehicle Movement,field access road,2026-05-30T08:00:00,Maintenance Engineer,NON_SIF,Driving,val
UNSAFE_CONDITION,Housekeeping item,A section of perimeter fencing showed minor sagging well away from any live work area; scheduled for tensioning.,Site D (Drilling Rig),General Maintenance,site perimeter,2026-05-12T18:00:00,Contractor,LOW,No applicable rule,train
UNSAFE_CONDITION,Good practice observed,"Isolation was correctly applied, tagged, and verified using a zero-energy check before the technician began pump maintenance.",Site C (Gas Processing),General Maintenance,pump station,2026-06-17T23:00:00,Contractor,NON_SIF,Energy Isolation,val
NEAR_MISS,Barrier verification gap,"Wind speed approached the crane's rated operating limit partway through a lift, and the lift was paused only after already being underway.",Site B (Pipeline Corridor),Lifting Operation,crane pad,2026-05-09T05:00:00,HSE Officer,MEDIUM,Safe Mechanical Lifting,train
UNSAFE_CONDITION,Minor administrative item,Emergency shower and eyewash stations were checked and flushed as part of the monthly inspection with no faults found.,Site E (Terminal),General Maintenance,process unit,2026-02-24T01:00:00,Operator,NON_SIF,No applicable rule,train
UNSAFE_CONDITION,Routine safety observation,Supervisor walkdown recorded that Toolbox talk was held before the shift and all attendees signed the safety briefing register; no concerns raised Observed during morning toolbox talk follow-up.,Site A (Upstream E&P),General Maintenance,muster point,2026-07-04T15:00:00,Operator,NON_SIF,No applicable rule,val
NEAR_MISS,Barrier verification gap,"A relief valve was assumed to have vented residual pressure fully, but no confirmatory bleed-down check was performed before the flange bolts were loosened.",Site D (Drilling Rig),Pipeline Maintenance,flange near pressure vessel,2026-06-19T12:00:00,HSE Officer,MEDIUM,Energy Isolation,train
UNSAFE_CONDITION,High-risk near miss,"Supervisor walkdown recorded that A safety shower interlock on a chemical loading line was bypassed to speed up changeover, without documented authorization Observed during morning toolbox talk follow-up.",Site A (Upstream E&P),General Maintenance,chemical loading bay,2026-03-09T07:00:00,Operator,HIGH,Bypassing Safety Controls,val
NEAR_MISS,High-risk near miss,Supervisor walkdown recorded that Worker leaned out from a scaffold platform to reach a valve without re-anchoring the fall-arrest lanyard Observed during morning toolbox talk follow-up.,Site C (Gas Processing),Working at Height,elevated scaffold platform,2026-07-28T00:00:00,Operator,HIGH,Working at Height,train
UNSAFE_ACT,High-risk near miss,Operator bypassed the high-pressure trip alarm to keep the unit running during startup.,Site A (Upstream E&P),General Maintenance,control room,2026-08-03T17:00:00,Operator,HIGH,Bypassing Safety Controls,train
NEAR_MISS,Critical safety observation,"Permit close-out comment: Grinding continued after the fire watch was called away to answer a radio call, with no relief watch posted in the interim Equipment tag referenced in the PTW package.",Site B (Pipeline Corridor),Hot Work,workshop grinding station,2026-06-02T10:00:00,Contractor,HIGH,Hot Work,train
NEAR_MISS,Safety concern requiring follow-up,Supervisor walkdown recorded that A pipe spool being lowered onto the pipe rack swung briefly toward a worker who was still inside the marked exclusion zone finishing an unrelated task Observed during morning toolbox talk follow-up.,Site A (Upstream E&P),Lifting Operation,pipe rack area,2026-07-05T17:00:00,Operator,MEDIUM,Line of Fire,train
UNSAFE_CONDITION,Barrier verification gap,"Supervisor walkdown recorded that A low-level alarm was silenced during a known sensor fault, with a manual round-the-clock check substituted, but the substitute check was missed for one shift Observed during morning toolbox talk follow-up.",Site D (Drilling Rig),General Maintenance,control room,2026-05-12T03:00:00,Maintenance Engineer,MEDIUM,Bypassing Safety Controls,val
UNSAFE_CONDITION,Minor administrative item,Supervisor walkdown recorded that New contractor completed the site safety induction and PPE fitting before being escorted to the work area by the site host Observed during morning toolbox talk follow-up.,Site A (Upstream E&P),General Maintenance,site induction room,2026-02-17T15:00:00,Operator,NON_SIF,No applicable rule,test
UNSAFE_CONDITION,Routine safety observation,Supervisor walkdown recorded that A near-miss reporting refresher was held for new hires with no actual incidents discussed Observed during morning toolbox talk follow-up.,Site E (Terminal),General Maintenance,training room,2026-05-02T16:00:00,Maintenance Engineer,NON_SIF,No applicable rule,train
NEAR_MISS,Barrier verification gap,Cutting torch was used to remove a bracket near a vent that was not confirmed to be free of flammable vapours.,Site C (Gas Processing),Hot Work,tank farm perimeter,2026-02-27T06:00:00,Operator,MEDIUM,Hot Work,val
UNSAFE_CONDITION,Routine safety observation,"Supervisor walkdown recorded that A temporary bypass of a non-critical alarm was authorized, time-limited, logged in the shift log, and removed exactly as scheduled Observed during morning toolbox talk follow-up.",Site A (Upstream E&P),General Maintenance,control room,2026-07-10T23:00:00,Shift Supervisor,NON_SIF,Bypassing Safety Controls,test
UNSAFE_CONDITION,Routine safety observation,A spill of a small amount of water from a leaking tap was reported in the break room and mopped up promptly.,Site A (Upstream E&P),General Maintenance,break room,2026-04-21T16:00:00,Maintenance Engineer,NON_SIF,No applicable rule,train
NEAR_MISS,Potential serious injury precursor,Permit close-out comment: Grinding work generated sparks near an area where flammable vapours were later confirmed present Equipment tag referenced in the PTW package.,Site D (Drilling Rig),Hot Work,process area near tank farm,2026-04-08T08:00:00,Field Technician,HIGH,Hot Work,train
UNSAFE_CONDITION,Housekeeping item,A safety cone marking the edge of the lift exclusion zone had been knocked over by wind; no lifting was in progress and the cone was reset immediately.,Site E (Terminal),Lifting Operation,laydown yard perimeter,2026-03-17T11:00:00,Operator,LOW,Line of Fire,train
UNSAFE_CONDITION,Minor safety observation,Supervisor walkdown recorded that A safety cone marking the edge of the lift exclusion zone had been knocked over by wind; no lifting was in progress and the cone was reset immediately Observed during morning toolbox talk follow-up.,Site E (Terminal),Lifting Operation,laydown yard perimeter,2026-07-30T05:00:00,HSE Officer,LOW,Line of Fire,train
UNSAFE_CONDITION,Minor safety observation,"A small oil stain was found on the concrete near the pump house, well away from any walkway; absorbent applied and area monitored.",Site A (Upstream E&P),General Maintenance,pump house apron,2026-03-16T06:00:00,Field Technician,LOW,No applicable rule,train
UNSAFE_CONDITION,Minor safety observation,"Supervisor walkdown recorded that A small oil stain was found on the concrete near the pump house, well away from any walkway; absorbent applied and area monitored Observed during morning toolbox talk follow-up.",Site D (Drilling Rig),General Maintenance,pump house apron,2026-07-11T10:00:00,Field Technician,LOW,No applicable rule,train
UNSAFE_CONDITION,Good practice observed,Supervisor walkdown recorded that Spill kit inventory check was completed for the month with all items accounted for and in good condition Observed during morning toolbox talk follow-up.,Site E (Terminal),General Maintenance,spill response locker,2026-04-27T03:00:00,Field Technician,NON_SIF,No applicable rule,train
NEAR_MISS,High-risk near miss,"Permit close-out comment: Rig floor crew handled a stand of drill pipe without confirming the derrickman's readiness signal, causing a brief swing of the pipe near ground crew Equipment tag referenced in the PTW package.",Site C (Gas Processing),Drilling Operations,rig floor,2026-06-13T22:00:00,Contractor,HIGH,Line of Fire,train
UNSAFE_CONDITION,Minor safety observation,"Damaged floor tile noticed near the canteen entrance; low foot traffic area, no one nearby, flagged for repair.",Site B (Pipeline Corridor),General Maintenance,canteen entrance,2026-04-29T07:00:00,Contractor,LOW,No applicable rule,val
UNSAFE_CONDITION,Minor safety observation,Supervisor walkdown recorded that A scaffold inspection tag showed the next-due date was two days away; the scaffold itself passed a visual check with no defects noted Observed during morning toolbox talk follow-up.,Site B (Pipeline Corridor),Working at Height,scaffold platform,2026-04-10T23:00:00,Operator,LOW,Working at Height,train
UNSAFE_CONDITION,Routine safety observation,"Continuous gas monitoring was maintained throughout the vessel entry, with the attendant never leaving the entry point and communication checks every 15 minutes.",Site E (Terminal),Confined Space Entry,process vessel manway,2026-07-25T05:00:00,Contractor,NON_SIF,Confined Space,train
NEAR_MISS,Critical safety observation,"Permit close-out comment: Employee stood in the pinch point between a pipe and the crane hook while positioning the load, and had to step back quickly Equipment tag referenced in the PTW package.",Site D (Drilling Rig),Lifting Operation,pipe rack laydown area,2026-08-14T01:00:00,Shift Supervisor,HIGH,Line of Fire,val
NEAR_MISS,High-risk near miss,"Permit close-out comment: A valve believed to be isolated was found still partly open when the technician began removing its actuator, releasing a small amount of process fluid Equipment tag referenced in the PTW package.",Site B (Pipeline Corridor),Pipeline Maintenance,actuator removal point,2026-05-31T17:00:00,HSE Officer,HIGH,Energy Isolation,train
UNSAFE_CONDITION,Routine safety observation,"All scaffold guardrails and toe boards were verified in place by a competent person before work began, and harnesses were double-checked at the access point.",Site D (Drilling Rig),Working at Height,scaffold access point,2026-06-27T02:00:00,Operator,NON_SIF,Working at Height,test
NEAR_MISS,Safety concern requiring follow-up,A worker's fall-arrest lanyard was connected to a handrail rather than a certified anchor point for part of a scaffold task.,Site C (Gas Processing),Working at Height,scaffold platform,2026-04-06T01:00:00,Field Technician,MEDIUM,Working at Height,test
UNSAFE_CONDITION,Housekeeping item,Handrail on a low internal staircase had slight surface rust noted during a routine walk-down; flagged for a future paint touch-up.,Site C (Gas Processing),General Maintenance,internal staircase,2026-06-09T12:00:00,HSE Officer,LOW,Working at Height,train
NEAR_MISS,Near miss - review recommended,"A hot work permit was issued and a fire watch posted, but the gas test was performed slightly outside the actual radius of the welding point.",Site E (Terminal),Hot Work,fabrication bay,2026-05-26T16:00:00,Field Technician,MEDIUM,Hot Work,train
INCIDENT,High-risk near miss,Worker was struck by a swinging pipe section during positioning after the tag line was released early.,Site E (Terminal),Lifting Operation,pipe handling area,2026-07-13T03:00:00,Operator,HIGH,Line of Fire,train
NEAR_MISS,Potential serious injury precursor,Permit close-out comment: Vehicle reversing near the workshop nearly struck a pedestrian who stepped out without checking; the driver stopped in time Equipment tag referenced in the PTW package.,Site D (Drilling Rig),Driving / Vehicle Movement,workshop yard,2026-02-22T01:00:00,Operator,HIGH,Driving,val
UNSAFE_CONDITION,Minor administrative item,Supervisor walkdown recorded that Isolation was completed and confirmed by the shift supervisor before the pump seal replacement began; work proceeded without incident Observed during morning toolbox talk follow-up.,Site A (Upstream E&P),General Maintenance,pump house,2026-05-10T22:00:00,Shift Supervisor,NON_SIF,Energy Isolation,train
NEAR_MISS,Barrier verification gap,"Supervisor walkdown recorded that A junior technician disconnected a hydraulic line without checking whether isolation had been confirmed, and hydraulic fluid sprayed nearby Observed during morning toolbox talk follow-up.",Site E (Terminal),General Maintenance,hydraulic skid,2026-06-08T01:00:00,Contractor,MEDIUM,Energy Isolation,train
